date,iso_code,nuts2,name,supplier,additional_dose
2021-10-13,ES-MD,ES30,Madrid,Unknown,38234
2021-10-13,ES-MC,ES62,Murcia,Unknown,3583
2021-10-13,ES-NC,ES22,Navarra,Unknown,3016
2021-10-13,ES-PV,ES21,País Vasco,Unknown,12348
2021-10-13,ES-CE,ES63,Ceuta,Unknown,417
2021-10-13,ES-ML,ES64,Melilla,Unknown,0
2021-10-14,ES-AN,ES61,Andalucía,Unknown,46208
2021-10-14,ES-AR,ES24,Aragón,Unknown,15613
2021-10-14,ES-AS,ES12,Asturias,Unknown,8849
2021-10-14,ES-IB,ES53,Islas Baleares,Unknown,4402
2021-10-14,ES-CN,ES70,Canarias,Unknown,11197
2021-10-14,ES-CB,ES13,Cantabria,Unknown,6280
2021-10-14,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-14,ES-CM,ES42,Castilla-La Mancha,Unknown,18184
2021-10-14,ES-CT,ES51,Cataluña,Unknown,57846
2021-10-14,ES-VC,ES52,Comunidad Valenciana,Unknown,32404
2021-10-14,ES-EX,ES43,Extremadura,Unknown,15536
2021-10-14,ES-GA,ES11,Galicia,Unknown,23591
2021-10-14,ES-RI,ES23,La Rioja,Unknown,2025
2021-10-14,ES-MD,ES30,Madrid,Unknown,39872
2021-10-14,ES-MC,ES62,Murcia,Unknown,3586
2021-10-14,ES-NC,ES22,Navarra,Unknown,3053
2021-10-14,ES-PV,ES21,País Vasco,Unknown,12780
2021-10-14,ES-CE,ES63,Ceuta,Unknown,420
2021-10-14,ES-ML,ES64,Melilla,Unknown,0
2021-10-15,ES-AN,ES61,Andalucía,Unknown,47448
2021-10-15,ES-AR,ES24,Aragón,Unknown,16026
2021-10-15,ES-AS,ES12,Asturias,Unknown,9840
2021-10-15,ES-IB,ES53,Islas Baleares,Unknown,4430
2021-10-15,ES-CN,ES70,Canarias,Unknown,11550
2021-10-15,ES-CB,ES13,Cantabria,Unknown,6651
2021-10-15,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-15,ES-CM,ES42,Castilla-La Mancha,Unknown,19158
2021-10-15,ES-CT,ES51,Cataluña,Unknown,60403
2021-10-15,ES-VC,ES52,Comunidad Valenciana,Unknown,33993
2021-10-15,ES-EX,ES43,Extremadura,Unknown,16056
2021-10-15,ES-GA,ES11,Galicia,Unknown,23827
2021-10-15,ES-RI,ES23,La Rioja,Unknown,2416
2021-10-15,ES-MD,ES30,Madrid,Unknown,42291
2021-10-15,ES-MC,ES62,Murcia,Unknown,3607
2021-10-15,ES-NC,ES22,Navarra,Unknown,3119
2021-10-15,ES-PV,ES21,País Vasco,Unknown,12961
2021-10-15,ES-CE,ES63,Ceuta,Unknown,420
2021-10-15,ES-ML,ES64,Melilla,Unknown,0
2021-10-18,ES-AN,ES61,Andalucía,Unknown,48182
2021-10-18,ES-AR,ES24,Aragón,Unknown,16348
2021-10-18,ES-AS,ES12,Asturias,Unknown,10645
2021-10-18,ES-IB,ES53,Islas Baleares,Unknown,4771
2021-10-18,ES-CN,ES70,Canarias,Unknown,11806
2021-10-18,ES-CB,ES13,Cantabria,Unknown,6790
2021-10-18,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-18,ES-CM,ES42,Castilla-La Mancha,Unknown,20097
2021-10-18,ES-CT,ES51,Cataluña,Unknown,61844
2021-10-18,ES-VC,ES52,Comunidad Valenciana,Unknown,35202
2021-10-18,ES-EX,ES43,Extremadura,Unknown,16775
2021-10-18,ES-GA,ES11,Galicia,Unknown,24016
2021-10-18,ES-RI,ES23,La Rioja,Unknown,2779
2021-10-18,ES-MD,ES30,Madrid,Unknown,44023
2021-10-18,ES-MC,ES62,Murcia,Unknown,4876
2021-10-18,ES-NC,ES22,Navarra,Unknown,3132
2021-10-18,ES-PV,ES21,País Vasco,Unknown,13140
2021-10-18,ES-CE,ES63,Ceuta,Unknown,420
2021-10-18,ES-ML,ES64,Melilla,Unknown,200
2021-10-19,ES-AN,ES61,Andalucía,Unknown,48182
2021-10-19,ES-AR,ES24,Aragón,Unknown,16495
2021-10-19,ES-AS,ES12,Asturias,Unknown,11137
2021-10-19,ES-IB,ES53,Islas Baleares,Unknown,4911
2021-10-19,ES-CN,ES70,Canarias,Unknown,12041
2021-10-19,ES-CB,ES13,Cantabria,Unknown,6878
2021-10-19,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-19,ES-CM,ES42,Castilla-La Mancha,Unknown,20176
2021-10-19,ES-CT,ES51,Cataluña,Unknown,63105
2021-10-19,ES-VC,ES52,Comunidad Valenciana,Unknown,35935
2021-10-19,ES-EX,ES43,Extremadura,Unknown,16828
2021-10-19,ES-GA,ES11,Galicia,Unknown,24336
2021-10-19,ES-RI,ES23,La Rioja,Unknown,2880
2021-10-19,ES-MD,ES30,Madrid,Unknown,45488
2021-10-19,ES-MC,ES62,Murcia,Unknown,5310
2021-10-19,ES-NC,ES22,Navarra,Unknown,3143
2021-10-19,ES-PV,ES21,País Vasco,Unknown,13364
2021-10-19,ES-CE,ES63,Ceuta,Unknown,420
2021-10-19,ES-ML,ES64,Melilla,Unknown,202
2021-10-20,ES-AN,ES61,Andalucía,Unknown,48182
2021-10-20,ES-AR,ES24,Aragón,Unknown,16648
2021-10-20,ES-AS,ES12,Asturias,Unknown,11836
2021-10-20,ES-IB,ES53,Islas Baleares,Unknown,5088
2021-10-20,ES-CN,ES70,Canarias,Unknown,12210
2021-10-20,ES-CB,ES13,Cantabria,Unknown,7139
2021-10-20,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-20,ES-CM,ES42,Castilla-La Mancha,Unknown,20331
2021-10-20,ES-CT,ES51,Cataluña,Unknown,64881
2021-10-20,ES-VC,ES52,Comunidad Valenciana,Unknown,36816
2021-10-20,ES-EX,ES43,Extremadura,Unknown,16968
2021-10-20,ES-GA,ES11,Galicia,Unknown,24935
2021-10-20,ES-RI,ES23,La Rioja,Unknown,3025
2021-10-20,ES-MD,ES30,Madrid,Unknown,47303
2021-10-20,ES-MC,ES62,Murcia,Unknown,5422
2021-10-20,ES-NC,ES22,Navarra,Unknown,3166
2021-10-20,ES-PV,ES21,País Vasco,Unknown,13441
2021-10-20,ES-CE,ES63,Ceuta,Unknown,420
2021-10-20,ES-ML,ES64,Melilla,Unknown,202
2021-10-21,ES-AN,ES61,Andalucía,Unknown,94695
2021-10-21,ES-AR,ES24,Aragón,Unknown,17166
