date,iso_code,nuts2,name,supplier,one_dose
2021-01-11,ES-NC,ES22,Navarra,Pfizer/BioNTech,5468
2021-01-11,ES-PV,ES21,País Vasco,Pfizer/BioNTech,13103
2021-01-11,ES-CE,ES63,Ceuta,Pfizer/BioNTech,698
2021-01-11,ES-ML,ES64,Melilla,Pfizer/BioNTech,832
2021-01-12,ES-AN,ES61,Andalucía,Pfizer/BioNTech,94879
2021-01-12,ES-AR,ES24,Aragón,Pfizer/BioNTech,11983
2021-01-12,ES-AS,ES12,Asturias,Pfizer/BioNTech,22428
2021-01-12,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,4835
2021-01-12,ES-CN,ES70,Canarias,Pfizer/BioNTech,15328
2021-01-12,ES-CB,ES13,Cantabria,Pfizer/BioNTech,9527
2021-01-12,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,41340
2021-01-12,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,23342
2021-01-12,ES-CT,ES51,Cataluña,Pfizer/BioNTech,82785
2021-01-12,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,57223
2021-01-12,ES-EX,ES43,Extremadura,Pfizer/BioNTech,11346
2021-01-12,ES-GA,ES11,Galicia,Pfizer/BioNTech,33346
2021-01-12,ES-RI,ES23,La Rioja,Pfizer/BioNTech,3826
2021-01-12,ES-MD,ES30,Madrid,Pfizer/BioNTech,35949
2021-01-12,ES-MC,ES62,Murcia,Pfizer/BioNTech,16191
2021-01-12,ES-NC,ES22,Navarra,Pfizer/BioNTech,6557
2021-01-12,ES-PV,ES21,País Vasco,Pfizer/BioNTech,15393
2021-01-12,ES-CE,ES63,Ceuta,Pfizer/BioNTech,758
2021-01-12,ES-ML,ES64,Melilla,Pfizer/BioNTech,1005
2021-01-13,ES-AN,ES61,Andalucía,Pfizer/BioNTech,109831
2021-01-13,ES-AR,ES24,Aragón,Pfizer/BioNTech,17043
2021-01-13,ES-AS,ES12,Asturias,Pfizer/BioNTech,25278
2021-01-13,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,4931
2021-01-13,ES-CN,ES70,Canarias,Pfizer/BioNTech,22290
2021-01-13,ES-CB,ES13,Cantabria,Pfizer/BioNTech,11302
2021-01-13,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,48243
2021-01-13,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,26879
2021-01-13,ES-CT,ES51,Cataluña,Pfizer/BioNTech,92133
2021-01-13,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,70870
2021-01-13,ES-EX,ES43,Extremadura,Pfizer/BioNTech,14293
2021-01-13,ES-GA,ES11,Galicia,Pfizer/BioNTech,37745
2021-01-13,ES-RI,ES23,La Rioja,Pfizer/BioNTech,4651
2021-01-13,ES-MD,ES30,Madrid,Pfizer/BioNTech,49228
2021-01-13,ES-MC,ES62,Murcia,Pfizer/BioNTech,19905
2021-01-13,ES-NC,ES22,Navarra,Pfizer/BioNTech,7420
2021-01-13,ES-PV,ES21,País Vasco,Pfizer/BioNTech,17771
2021-01-13,ES-CE,ES63,Ceuta,Pfizer/BioNTech,820
2021-01-13,ES-ML,ES64,Melilla,Pfizer/BioNTech,1005
2021-01-14,ES-AN,ES61,Andalucía,Unknown,123459
2021-01-14,ES-AR,ES24,Aragón,Unknown,20854
2021-01-14,ES-AS,ES12,Asturias,Unknown,29074
2021-01-14,ES-IB,ES53,Islas Baleares,Unknown,7552
2021-01-14,ES-CN,ES70,Canarias,Unknown,25159
2021-01-14,ES-CB,ES13,Cantabria,Unknown,12779
2021-01-14,ES-CL,ES41,Castilla y León,Unknown,57969
2021-01-14,ES-CM,ES42,Castilla-La Mancha,Unknown,30613
2021-01-14,ES-CT,ES51,Cataluña,Unknown,105587
2021-01-14,ES-VC,ES52,Comunidad Valenciana,Unknown,80429
2021-01-14,ES-EX,ES43,Extremadura,Unknown,17862
2021-01-14,ES-GA,ES11,Galicia,Unknown,44014
2021-01-14,ES-RI,ES23,La Rioja,Unknown,5385
2021-01-14,ES-MD,ES30,Madrid,Unknown,63385
2021-01-14,ES-MC,ES62,Murcia,Unknown,21739
2021-01-14,ES-NC,ES22,Navarra,Unknown,8314
2021-01-14,ES-PV,ES21,País Vasco,Unknown,20003
2021-01-14,ES-CE,ES63,Ceuta,Unknown,911
2021-01-14,ES-ML,ES64,Melilla,Unknown,1098
2021-01-15,ES-AN,ES61,Andalucía,Unknown,139718
2021-01-15,ES-AR,ES24,Aragón,Unknown,23619
2021-01-15,ES-AS,ES12,Asturias,Unknown,31247
2021-01-15,ES-IB,ES53,Islas Baleares,Unknown,9366
2021-01-15,ES-CN,ES70,Canarias,Unknown,30732
2021-01-15,ES-CB,ES13,Cantabria,Unknown,14639
2021-01-15,ES-CL,ES41,Castilla y León,Unknown,59411
2021-01-15,ES-CM,ES42,Castilla-La Mancha,Unknown,33809
2021-01-15,ES-CT,ES51,Cataluña,Unknown,122577
2021-01-15,ES-VC,ES52,Comunidad Valenciana,Unknown,86927
2021-01-15,ES-EX,ES43,Extremadura,Unknown,22322
2021-01-15,ES-GA,ES11,Galicia,Unknown,49768
2021-01-15,ES-RI,ES23,La Rioja,Unknown,5953
2021-01-15,ES-MD,ES30,Madrid,Unknown,77921
2021-01-15,ES-MC,ES62,Murcia,Unknown,27001
2021-01-15,ES-NC,ES22,Navarra,Unknown,9305
2021-01-15,ES-PV,ES21,País Vasco,Unknown,22464
2021-01-15,ES-CE,ES63,Ceuta,Unknown,941
2021-01-15,ES-ML,ES64,Melilla,Unknown,1230
2021-01-18,ES-AN,ES61,Andalucía,Unknown,150871
2021-01-18,ES-AR,ES24,Aragón,Unknown,25133
2021-01-18,ES-AS,ES12,Asturias,Unknown,33370
2021-01-18,ES-IB,ES53,Islas Baleares,Unknown,13595
2021-01-18,ES-CN,ES70,Canarias,Unknown,41786
2021-01-18,ES-CB,ES13,Cantabria,Unknown,17724
2021-01-18,ES-CL,ES41,Castilla y León,Unknown,66955
2021-01-18,ES-CM,ES42,Castilla-La Mancha,Unknown,38321
2021-01-18,ES-CT,ES51,Cataluña,Unknown,144906
2021-01-18,ES-VC,ES52,Comunidad Valenciana,Unknown,93543
2021-01-18,ES-EX,ES43,Extremadura,Unknown,27613
2021-01-18,ES-GA,ES11,Galicia,Unknown,56331
2021-01-18,ES-RI,ES23,La Rioja,Unknown,7761
2021-01-18,ES-MD,ES30,Madrid,Unknown,104014
2021-01-18,ES-MC,ES62,Murcia,Unknown,34103
2021-01-18,ES-NC,ES22,Navarra,Unknown,11834
2021-01-18,ES-PV,ES21,País Vasco,Unknown,25526
2021-01-18,ES-CE,ES63,Ceuta,Unknown,952
2021-01-18,ES-ML,ES64,Melilla,Unknown,1289
2021-01-19,ES-AN,ES61,Andalucía,Unknown,163047
2021-01-19,ES-AR,ES24,Aragón,Unknown,28066
2021-01-19,ES-AS,ES12,Asturias,Unknown,33008
2021-01-19,ES-IB,ES53,Islas Baleares,Unknown,14494
2021-01-19,ES-CN,ES70,Canarias,Unknown,42870
2021-01-19,ES-CB,ES13,Cantabria,Unknown,18967
2021-01-19,ES-CL,ES41,Castilla y León,Unknown,70453
2021-01-19,ES-CM,ES42,Castilla-La Mancha,Unknown,43493
2021-01-19,ES-CT,ES51,Cataluña,Unknown,156195
2021-01-19,ES-VC,ES52,Comunidad Valenciana,Unknown,94672
2021-01-19,ES-EX,ES43,Extremadura,Unknown,28871
2021-01-19,ES-GA,ES11,Galicia,Unknown,56680
2021-01-19,ES-RI,ES23,La Rioja,Unknown,8005
2021-01-19,ES-MD,ES30,Madrid,Unknown,119449
2021-01-19,ES-MC,ES62,Murcia,Unknown,35796
2021-01-19,ES-NC,ES22,Navarra,Unknown,12692
2021-01-19,ES-PV,ES21,País Vasco,Unknown,27679
2021-01-19,ES-CE,ES63,Ceuta,Unknown,1051
2021-01-19,ES-ML,ES64,Melilla,Unknown,1268
2021-01-20,ES-AN,ES61,Andalucía,Unknown,169711
2021-01-20,ES-AR,ES24,Aragón,Unknown,33111
2021-01-20,ES-AS,ES12,Asturias,Unknown,34367
2021-01-20,ES-IB,ES53,Islas Baleares,Unknown,15530
2021-01-20,ES-CN,ES70,Canarias,Unknown,43260
2021-01-20,ES-CB,ES13,Cantabria,Unknown,19473
2021-01-20,ES-CL,ES41,Castilla y León,Unknown,73717
2021-01-20,ES-CM,ES42,Castilla-La Mancha,Unknown,48560
2021-01-20,ES-CT,ES51,Cataluña,Unknown,161917
2021-01-20,ES-VC,ES52,Comunidad Valenciana,Unknown,98195
2021-01-20,ES-EX,ES43,Extremadura,Unknown,30687
2021-01-20,ES-GA,ES11,Galicia,Unknown,57907
2021-01-20,ES-RI,ES23,La Rioja,Unknown,8291
2021-01-20,ES-MD,ES30,Madrid,Unknown,128382
2021-01-20,ES-MC,ES62,Murcia,Unknown,37620
2021-01-20,ES-NC,ES22,Navarra,Unknown,14056
2021-01-20,ES-PV,ES21,País Vasco,Unknown,33133
2021-01-20,ES-CE,ES63,Ceuta,Unknown,1081
2021-01-20,ES-ML,ES64,Melilla,Unknown,1297
2021-01-21,ES-AN,ES61,Andalucía,Unknown,178908
2021-01-21,ES-AR,ES24,Aragón,Unknown,36439
2021-01-21,ES-AS,ES12,Asturias,Unknown,34347
2021-01-21,ES-IB,ES53,Islas Baleares,Unknown,16591
2021-01-21,ES-CN,ES70,Canarias,Unknown,43738
2021-01-21,ES-CB,ES13,Cantabria,Unknown,19739
2021-01-21,ES-CL,ES41,Castilla y León,Unknown,76866
2021-01-21,ES-CM,ES42,Castilla-La Mancha,Unknown,52678
2021-01-21,ES-CT,ES51,Cataluña,Unknown,165456
2021-01-21,ES-VC,ES52,Comunidad Valenciana,Unknown,98481
2021-01-21,ES-EX,ES43,Extremadura,Unknown,31401
2021-01-21,ES-GA,ES11,Galicia,Unknown,58150
2021-01-21,ES-RI,ES23,La Rioja,Unknown,8417
2021-01-21,ES-MD,ES30,Madrid,Unknown,141027
2021-01-21,ES-MC,ES62,Murcia,Unknown,38973
2021-01-21,ES-NC,ES22,Navarra,Unknown,14987
2021-01-21,ES-PV,ES21,País Vasco,Unknown,35531
2021-01-21,ES-CE,ES63,Ceuta,Unknown,1219
2021-01-21,ES-ML,ES64,Melilla,Unknown,1297
2021-01-22,ES-AN,ES61,Andalucía,Unknown,188920
2021-01-22,ES-AR,ES24,Aragón,Unknown,39122
2021-01-22,ES-AS,ES12,Asturias,Unknown,34614
2021-01-22,ES-IB,ES53,Islas Baleares,Unknown,17839
2021-01-22,ES-CN,ES70,Canarias,Unknown,44203
2021-01-22,ES-CB,ES13,Cantabria,Unknown,20221
2021-01-22,ES-CL,ES41,Castilla y León,Unknown,80310
2021-01-22,ES-CM,ES42,Castilla-La Mancha,Unknown,55438
2021-01-22,ES-CT,ES51,Cataluña,Unknown,169046
2021-01-22,ES-VC,ES52,Comunidad Valenciana,Unknown,99287
2021-01-22,ES-EX,ES43,Extremadura,Unknown,32341
2021-01-22,ES-GA,ES11,Galicia,Unknown,58190
2021-01-22,ES-RI,ES23,La Rioja,Unknown,8650
2021-01-22,ES-MD,ES30,Madrid,Unknown,152515
2021-01-22,ES-MC,ES62,Murcia,Unknown,40175
2021-01-22,ES-NC,ES22,Navarra,Unknown,15503
2021-01-22,ES-PV,ES21,País Vasco,Unknown,38430
2021-01-22,ES-CE,ES63,Ceuta,Unknown,1268
2021-01-22,ES-ML,ES64,Melilla,Unknown,1297
2021-01-25,ES-AN,ES61,Andalucía,Unknown,200793
2021-01-25,ES-AR,ES24,Aragón,Unknown,40317
2021-01-25,ES-AS,ES12,Asturias,Unknown,34896
2021-01-25,ES-IB,ES53,Islas Baleares,Unknown,19370
2021-01-25,ES-CN,ES70,Canarias,Unknown,46117
2021-01-25,ES-CB,ES13,Cantabria,Unknown,20222
2021-01-25,ES-CL,ES41,Castilla y León,Unknown,84464
2021-01-25,ES-CM,ES42,Castilla-La Mancha,Unknown,59380
2021-01-25,ES-CT,ES51,Cataluña,Unknown,177306
2021-01-25,ES-VC,ES52,Comunidad Valenciana,Unknown,99917
2021-01-25,ES-EX,ES43,Extremadura,Unknown,32487
2021-01-25,ES-GA,ES11,Galicia,Unknown,58271
2021-01-25,ES-RI,ES23,La Rioja,Unknown,8849
2021-01-25,ES-MD,ES30,Madrid,Unknown,162880
2021-01-25,ES-MC,ES62,Murcia,Unknown,41997
2021-01-25,ES-NC,ES22,Navarra,Unknown,16244
2021-01-25,ES-PV,ES21,País Vasco,Unknown,42769
2021-01-25,ES-CE,ES63,Ceuta,Unknown,1319
2021-01-25,ES-ML,ES64,Melilla,Unknown,1297
2021-01-26,ES-AN,ES61,Andalucía,Unknown,213194
2021-01-26,ES-AR,ES24,Aragón,Unknown,40586
2021-01-26,ES-AS,ES12,Asturias,Unknown,33393
2021-01-26,ES-IB,ES53,Islas Baleares,Unknown,19493
2021-01-26,ES-CN,ES70,Canarias,Unknown,47619
2021-01-26,ES-CB,ES13,Cantabria,Unknown,20443
2021-01-26,ES-CL,ES41,Castilla y León,Unknown,86291
2021-01-26,ES-CM,ES42,Castilla-La Mancha,Unknown,60726
2021-01-26,ES-CT,ES51,Cataluña,Unknown,173093
2021-01-26,ES-VC,ES52,Comunidad Valenciana,Unknown,100097
2021-01-26,ES-EX,ES43,Extremadura,Unknown,33720
2021-01-26,ES-GA,ES11,Galicia,Unknown,58342
2021-01-26,ES-RI,ES23,La Rioja,Unknown,8932
2021-01-26,ES-MD,ES30,Madrid,Unknown,165428
2021-01-26,ES-MC,ES62,Murcia,Unknown,42823
2021-01-26,ES-NC,ES22,Navarra,Unknown,16946
2021-01-26,ES-PV,ES21,País Vasco,Unknown,43768
2021-01-26,ES-CE,ES63,Ceuta,Unknown,1326
2021-01-26,ES-ML,ES64,Melilla,Unknown,1299
2021-01-27,ES-AN,ES61,Andalucía,Unknown,207025
2021-01-27,ES-AR,ES24,Aragón,Unknown,41975
