name,iso3611-2,NUTS2
Andalucía,ES-AN,ES61
Aragón,ES-AR,ES24
Asturias,ES-AS,ES12
Canarias,ES-CN,ES70
Cantabria,ES-CB,ES13
Castilla-La Mancha,ES-CM,ES42
Castilla y León,ES-CL,ES41
Cataluña,ES-CT,ES51
Extremadura,ES-EX,ES43
Galicia,ES-GA,ES11
Islas Baleares,ES-IB,ES53
La Rioja,ES-RI,ES23
Madrid,ES-MD,ES30
Murcia,ES-MC,ES62
Navarra,ES-NC,ES22
País Vasco,ES-PV,ES21
Comunidad Valenciana,ES-VC,ES52
Ceuta,ES-CE,ES63
Melilla,ES-ML,ES64
