Fecha,CCAA,Total casos,Nuevos,PCR,testAb,Incidencia Acumulada últimos 14 días,testAbPositivos,TotalPositivos,Hospitalizados,HospitalizatosNuevos,Ingreso UCI,Ingreso UCINuevos,Fallecidos,FallecidosNuevos,Curados,CuradosNuevos
2020-04-19T10:50:13,Andalucía,11205,185,10936,269,34.51,220,11425,5424,83,687,10,993,26,3116,168
2020-04-19T10:50:13,Aragón,4831,70,4608,223,121.2,,4831,2216,36,246,3,619,18,1175,54
2020-04-19T10:50:13,Asturias,2298,26,2172,126,67.76,,2298,1571,51,120,1,196,9,596,21
2020-04-19T10:50:13,Baleares,1773,25,1740,33,41.76,,1773,955,18,160,3,155,7,993,35
2020-04-19T10:50:13,Canarias,2047,12,2047,,19.74,,2047,825,3,162,2,119,4,789,4
2020-04-19T10:50:13,Cantabria,2050,60,1949,101,104.81,,2050,924,13,78,0,153,4,610,76
2020-04-19T10:50:13,Castilla La Mancha,16625,276,14588,2037,324.37,,16625,8137,44,518,4,1963,50,3963,125
2020-04-19T10:50:13,Castilla y León,15621,328,14644,977,286.39,,15621,6981,150,498,3,1458,29,5262,159
2020-04-19T10:50:13,Cataluña,40600,657,40448,152,189.81,,40600,22235,222,2395,46,3933,54,13691,416
2020-04-19T10:50:13,Ceuta,109,1,101,8,30.67,4,113,9,0,4,0,4,0,59,6
2020-04-19T10:50:13,C. Valenciana,9937,142,9657,280,55.02,313,10250,4781,73,643,7,1065,23,4547,241
2020-04-19T10:50:13,Extremadura,3136,55,2673,463,101.99,56,3192,1278,38,112,0,384,4,767,31
2020-04-19T10:50:13,Galicia,8185,101,8185,,83.02,,8185,2590,36,112,,346,12,,
2020-04-19T10:50:13,Madrid,54884,1938,53670,1214,259.63,1261,56145,8291,,1123,,7239,107,31313,838
2020-04-19T10:50:13,Melilla,104,0,104,,24.28,3,107,44,0,3,0,2,0,44,14
2020-04-19T10:50:13,Murcia,1644,6,1438,206,27.38,9,1653,612,1,102,0,116,1,652,14
2020-04-19T10:50:13,Navarra,4621,65,4413,208,236.62,35,4656,1843,14,127,0,369,15,992,38
2020-04-19T10:50:13,País Vasco,12569,214,11570,999,178.51,,12569,6086,56,499,9,1062,42,6972,416
2020-04-19T10:50:13,La Rioja,3705,57,3636,69,351.33,625,4330,1268,19,79,1,277,5,1816,39
2020-04-19T10:50:13,ESPAÑA,195944,4218,188579,7365,138.61,2526,198470,76070,857,7668,89,20453,410,77357,2695
